Open,High,Low,Close,Volume
19400.5,19444,19396.5,19434,248611484
19434,19445.5,19402.5,19411,297852344
19411,19440,19404.5,19440,307694394
19435,19435,19410.5,19419.5,254309290
19414.5,19429,19414.5,19417,307043714
19417,19417,19362.5,19412,270809457
19412,19525.5,19404.5,19525.5,305661459
19526,19664,19526,19659.5,223099893
19680,19777,19680,19680.5,207780361
19695,19742.5,19647.5,19742.5,204537290
19751.5,19844.5,19743.5,19802.5,270097626
19802.5,19868,19754,19764.5,252560024
19754,19835,19720.5,19835,155436613
19835,19883.5,19818.5,19842.5,179055713
19842.5,19856.5,19740.5,19740.5,175697893
19740.5,19740.5,19600.5,19713.5,178298790
19724,19747,19663.5,19666,163056549
19666,19695,19621,19621,183456020
19620.5,19628,19558.5,19628,172867643
19650.5,19660,19553.5,19620,388084516
19620,19654.5,19601,19601,212059431
19602.5,19679.5,19563.5,19675,174165941
19671.5,19709.5,19671.5,19692.5,245568562
19692.5,19701,19674.5,19680,250600945
19680,19680,19660,19660,313670879
19660,19734,19660,19734,274244776
19734,19758,19723,19749.5,254401292
19749.5,19830.5,19749.5,19810.5,839817964
19804.5,19842.5,19783,19834,187419066
19834,19839,19751.5,19761.5,168852337
19766,19902,19766,19887,170809252
19890.5,19919.5,19850.5,19886,216126069
19886,19949,19851.5,19868.5,232078182
19879.5,19927,19860.5,19873,155345994
19886,19894.5,19821.5,19827.5,292590223
19827.5,19846.5,19767.5,19817.5,228891310
19817.5,19876,19817.5,19870.5,242674028
19870.5,19870.5,19802.5,19823,256793236
19823,19840,19810.5,19837.5,278156135
19837.5,19839.5,19785.5,19785.5,208406820
19783.5,19801.5,19762.5,19775,312738493
19775,19782.5,19735.5,19763.5,370736907
19763.5,19780.5,19735.5,19763.5,349841248
19763.5,19782,19735.5,19775.5,417697857
19768,19781.5,19706.5,19749,269394937
19740.5,19795,19738.5,19788,253534402
19788,19802,19765,19769,280599891
19769,19769,19745,19757.5,580370318
19757.5,19763,19735.5,19748.5,337716617
19741.5,19741.5,19655,19685,302215941
19685,19685,19535,19598.5,241814807
19591.5,19591.5,19323.5,19323.5,166762627
19316,19474,19269.5,19459,168346888
19443,19443,19386.5,19433.5,238021394
19437,19527.5,19423.5,19507.5,324137611
19507,19540,19496.5,19527.5,259628906
19523.5,19549,19511,19549,333116538
19549,19569.5,19545.5,19552.5,464115694
19552.5,19559.5,19481,19497.5,272997447
19497.5,19527,19497.5,19521.5,356279094
19521.5,19575,19517.5,19573,334521453
19578,19585.5,19559,19559,363463997
19557,19557,19527.5,19535,464406643
19531,19531,19482,19490.5,382076436
19488,19549.5,19481.5,19545,271477044
19545,19545,19527,19544,327485343
19544,19599.5,19544,19566,256673226
19569,19580,19559.5,19559.5,402802210
19558.5,19565,19501,19511,318862093
19511,19525,19511,19515.5,450806853
19515.5,19519.5,19500.5,19506,321384140
19506,19506,19475.5,19478.5,348443552
19478.5,19508,19471.5,19486,354120876
19486,19486,19394.5,19394.5,402431535
19394.5,19415.5,19350.5,19350.5,202738989
19357.5,19411,19357.5,19384,281664927
19389,19389,19298.5,19355,201213523
19355,19432,19340.5,19431,218152895
19431,19452.5,19370.5,19383,217301837
19390,19431,19356.5,19431,164785179
19433,19499.5,19433,19499.5,263632980
19507.5,19540,19504.5,19540,286203445
19540,19611.5,19540,19602,263339563
19602,19619.5,19546,19579.5,251120712
19579.5,19591.5,19548.5,19565,304754926
19565,19568.5,19529,19536,310780519
19536,19542,19507,19524.5,392290248
19515.5,19544.5,19506.5,19526.5,255180268
19532,19535.5,19510.5,19515.5,270734163
19515.5,19515.5,19472,19481,280751746
19481,19510.5,19475,19487,350007856
19484,19525,19484,19525,285568219
19525,19594,19525,19594,302770676
19589,19600,19560.5,19560.5,230314900
19560.5,19560.5,19550.5,19552.5,310418228
19552.5,19584,19545.5,19584,282047222
19583,19583,19571,19577.5,293333076
19577.5,19593.5,19577.5,19593.5,391565906
19593.5,19595.5,19516.5,19516.5,251673917
19516.5,19516.5,19471.5,19494,269638680
19509.5,19540.5,19504.5,19540.5,303284030
19540.5,19540.5,19501,19522,293429445
19521,19549.5,19514.5,19543.5,284903181
19543.5,19582,19539.5,19576.5,272333126
19576.5,19579,19568.5,19568.5,330395673
19568.5,19568.5,19542.5,19557.5,317434719
19557.5,19565.5,19510,19531.5,303258694
19529.5,19545,19513,19531,362464503
19531,19536.5,19498,19498,290168124
19498,19544,19487.5,19507.5,271178404
19507.5,19520,19507.5,19510.5,275597386
19508.5,19508.5,19422,19449.5,257242965
19440.5,19448.5,19402.5,19446.5,255773855
19446.5,19454.5,19386,19402.5,285466089
19401,19418,19371.5,19410,222642636
19405.5,19438,19393,19432.5,306927293
19433,19440.5,19425.5,19425.5,491661631
19426.5,19440,19420.5,19423.5,336797628
19422.5,19428.5,19382,19389.5,263444143
19389.5,19389.5,19338.5,19360,302105456
19360,19360,19328,19330,549767386
19330,19330,19281,19300,269520337
19293.5,19346.5,19293,19318.5,253504187
19318.5,19322.5,19241,19275,235821521
19275,19290.5,19240.5,19254,211464501
19254,19342.5,19254,19342.5,277993702
19342.5,19388,19342.5,19377,357345489
19377,19377,19340.5,19342.5,329090236
19342.5,19377,19342.5,19375.5,331785600
19375.5,19375.5,19316,19319.5,358840074
19319.5,19319.5,19271.5,19271.5,293576708
19271.5,19285,19245,19248.5,305239783
19245,19290,19213.5,19236.5,235324361
19236.5,19236.5,19159,19159,184674880
19159,19228.5,19159,19224.5,270525356
19227.5,19260,19172,19193.5,233697813
19188.5,19210.5,19124.5,19163,249351209
19158,19172,19134.5,19141,214458757
19126.5,19132,19091.5,19122,208324243
19122.5,19136,19070.5,19116.5,226070650
19115,19129.5,19061.5,19119,190387960
19119,19135.5,19076,19083.5,236542963
19083.5,19177.5,19083.5,19170.5,255978334
19173,19215,19173,19195,225760857
19192,19255,19185.5,19255,251140189
19255,19325,19245.5,19325,229421567
19325,19352.5,19299,19352.5,209056622
19343.5,19343.5,19274.5,19296.5,242026696
19296.5,19299.5,19280.5,19296,284485756
19296,19340.5,19284.5,19325.5,305803534
19325.5,19325.5,19303.5,19305.5,328848842
